lat,long,gauge_id,q_mean,q_std,q_5,q_95,runoff_coefficient,p_mean,p_std,q_7_10,q_seasonal_amplitude,cvq_autumn,cvq_spring,cvq_summer,cvq_winter,q_annual_sens_slope,q_annual_p.value
47.925507,8.679586,DE110000,1.408,1.604,0.27,4.38,0.479,2.942,5.362,0.241,1.864,1.132,0.876,0.894,1.034,-0.002,0.234
47.948961,8.760112,DE110010,0.457,0.726,0,1.69,0.152,2.892,5.262,0,1.002,2.613,0.939,2.528,1.139,-0.002,0.005
48.072462,9.3961,DE110020,0.831,0.817,0.2,2.38,0.327,2.544,4.554,0.191,1.1,1.013,0.782,0.785,0.874,0,0.838
48.26627,9.731457,DE110030,0.83,0.639,0.26,2.11,0.339,2.451,4.382,0.256,0.872,0.767,0.636,0.63,0.701,-0.001,0.683
48.26344,9.900817,DE110040,1.058,0.677,0.58,2.24,0.404,2.62,5.214,0.567,0.325,0.554,0.655,0.671,0.623,0,0.946
47.876606,10.037603,DE110060,1.518,1.213,0.49,3.97,0.433,3.51,6.595,0.428,0.881,0.758,0.734,0.879,0.77,-0.001,0.518
48.58296,10.227086,DE110080,0.082,0.101,0.01,0.29,0.037,2.241,4.451,0.01,0.087,1.258,1.043,0.945,1.383,0,0.308
48.244097,9.224155,DE110090,0.88,0.597,0.29,1.98,0.343,2.568,4.904,0.287,0.753,0.687,0.544,0.756,0.586,-0.001,0.708
48.052942,8.974535,DE110100,0.79,1.166,0.05,2.968,0.289,2.733,4.927,0.04,1.5,1.841,1.078,1.461,1.164,0,0.812
48.074521,9.818366,DE110120,0.944,0.648,0.55,1.89,0.359,2.626,5.284,0.54,0.257,0.52,0.761,0.74,0.638,0.001,0.126
48.067066,10.048512,DE110130,1.332,0.92,0.64,3.099,0.476,2.801,5.655,0.651,0.529,0.632,0.685,0.727,0.657,0.001,0.61
47.988378,8.795632,DE110140,0.856,0.891,0.13,2.53,0.353,2.424,4.738,0.124,1.06,1.183,0.821,1.187,0.887,-0.001,0.563
47.9586,8.776617,DE110150,0.818,1.461,0,3.2,0.285,2.872,5.221,0,1.771,2.609,1.216,2.391,1.31,0,1
48.29404,9.197258,DE110160,0.799,0.763,0.12,2.22,0.295,2.646,5.106,0.11,0.903,0.989,0.77,1.237,0.759,-0.001,0.541
49.615623,9.623949,DE110170,0.538,0.438,0.2,1.29,0.277,1.943,4.245,0.201,0.639,0.641,0.6,0.457,0.848,0.002,0.126
49.525241,9.70704,DE110180,0.625,0.59,0.14,1.7,0.31,2.018,4.349,0.129,0.937,0.923,0.672,0.624,0.822,0.001,0.359
49.453826,10.070477,DE110190,0.627,1.259,0.06,2.37,0.319,1.968,4.113,0.083,1.125,2.661,1.601,2.327,1.538,0.003,0.118
49.498419,9.767891,DE110200,0.518,0.753,0.1,1.55,0.271,1.911,4.017,0.091,0.812,1.688,1.122,1.401,1.233,0,0.683
49.617222,9.449523,DE110210,0.658,0.657,0.21,1.63,0.331,1.991,4.231,0.206,0.848,1.049,0.71,0.558,0.98,0,0.838
47.925221,8.191595,DE110250,2.484,2.692,0.5,7.268,0.683,3.634,6.678,0.469,3.215,1.092,0.879,0.858,1.006,-0.006,0.003
