catch_no,catch_id,well_id,match_type,dK,K_code_well,K_desc_well,K_index_w,K_code_cat,K_desc_cat,K_index_c,inside_priority,is_natural,nearest_dtw_to_natural,dominant_K_code,dominant_K_share
354,DE410790,BR_33480246,inside,0,3,Medium,3,3,Medium,3,1,1,0,3,1
527,DE810290,MV_24360003,inside,0,3,Medium,3,3,Medium,3,1,1,0,3,1
1221,DEF12360,SH_4089,inside,0,3,Medium,3,3,Medium,3,1,1,0,3,1
1174,DEF10380,SH_5239,inside,0,3,Medium,3,3,Medium,3,1,0,0.0522043455294189,3,1
1252,DEF13480,SH_6263,inside,0,3,Medium,3,3,Medium,3,1,0,0.18776666076633583,3,1
355,DE410800,BR_33480245,inside,0,3,Medium,3,3,Medium,3,1,0,0.2098209616466333,3,1
528,DE810300,MV_23361800,inside,0,3,Medium,3,3,Medium,3,1,0,99,3,1
1233,DEF12830,SH_3922,inside,0,3,Medium,3,3,Medium,3,1,0,99,3,1
186,DE211270,BY_24138,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,1
187,DE211280,BY_24154,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,1
294,DE214590,BY_6160,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,1
368,DE411180,BR_34471523,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
387,DE411750,MV_26390304,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
393,DE411920,BR_30390001,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
397,DE412010,BR_26390030,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
400,DE412060,BR_28390112,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
401,DE412070,BR_28390113,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
442,DE710300,H_7951,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,1
508,DE810030,MV_23330023,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
511,DE810080,MV_23321001,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
518,DE810160,MV_20353007,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
521,DE810190,MV_19360004,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
522,DE810210,MV_19360006,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
529,DE810310,MV_21350024,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,1
